date,home_team,away_team,home_team_continent,away_team_continent,home_team_score,away_team_score,tournament,neutral_location,shoot_out,home_team_result
8/8/1993,Bolivia,Uruguay,South America,South America,3,1,FIFA World Cup qualification,FALSE,No,Win
8/8/1993,Brazil,Mexico,South America,North America,1,1,Friendly,FALSE,No,Draw
8/8/1993,Ecuador,Venezuela,South America,South America,5,0,FIFA World Cup qualification,FALSE,No,Win
8/8/1993,Guinea,Sierra Leone,Africa,Africa,1,0,Friendly,FALSE,No,Win
8/8/1993,Paraguay,Argentina,South America,South America,1,3,FIFA World Cup qualification,FALSE,No,Lose
8/8/1993,Peru,Colombia,South America,South America,0,1,FIFA World Cup qualification,FALSE,No,Lose
8/8/1993,Zimbabwe,Eswatini,Africa,Africa,2,0,Friendly,FALSE,No,Win
8/9/1993,Guinea,Sierra Leone,Africa,Africa,4,0,Friendly,FALSE,No,Win
8/11/1993,Faroe Islands,Norway,Europe,Europe,0,7,Friendly,FALSE,No,Lose
8/11/1993,Sweden,Switzerland,Europe,Europe,1,2,Friendly,FALSE,No,Lose
8/15/1993,Australia,Canada,Oceania,North America,2,1,FIFA World Cup qualification,FALSE,Yes,Win
8/15/1993,Bolivia,Ecuador,South America,South America,1,0,FIFA World Cup qualification,FALSE,No,Win
8/15/1993,Colombia,Argentina,South America,South America,2,1,FIFA World Cup qualification,FALSE,No,Win
8/15/1993,Congo,Guinea,Africa,Africa,0,0,African Cup of Nations qualification,FALSE,No,Draw
8/15/1993,Uruguay,Brazil,South America,South America,1,1,FIFA World Cup qualification,FALSE,No,Draw
8/22/1993,Argentina,Peru,South America,South America,2,1,FIFA World Cup qualification,FALSE,No,Win
8/22/1993,Bolivia,Venezuela,South America,South America,7,0,FIFA World Cup qualification,FALSE,No,Win
8/22/1993,Brazil,Ecuador,South America,South America,2,0,FIFA World Cup qualification,FALSE,No,Win
8/22/1993,Paraguay,Colombia,South America,South America,1,1,FIFA World Cup qualification,FALSE,No,Draw
8/22/1993,Sweden,France,Europe,Europe,1,1,FIFA World Cup qualification,FALSE,No,Draw
8/25/1993,Austria,Finland,Europe,Europe,3,0,FIFA World Cup qualification,FALSE,No,Win
8/25/1993,Denmark,Lithuania,Europe,Europe,4,0,FIFA World Cup qualification,FALSE,No,Win
8/29/1993,Argentina,Paraguay,South America,South America,0,0,FIFA World Cup qualification,FALSE,No,Draw
8/29/1993,Brazil,Bolivia,South America,South America,6,0,FIFA World Cup qualification,FALSE,No,Win
8/29/1993,Colombia,Peru,South America,South America,4,0,FIFA World Cup qualification,FALSE,No,Win
8/29/1993,Uruguay,Venezuela,South America,South America,4,0,FIFA World Cup qualification,FALSE,No,Win
8/31/1993,Iceland,USA,Europe,North America,0,1,Friendly,FALSE,No,Lose
9/5/1993,Argentina,Colombia,South America,South America,0,5,FIFA World Cup qualification,FALSE,No,Lose
9/5/1993,Brazil,Venezuela,South America,South America,4,0,FIFA World Cup qualification,FALSE,No,Win
9/5/1993,Ecuador,Uruguay,South America,South America,0,1,FIFA World Cup qualification,FALSE,No,Lose
9/5/1993,Estonia,Portugal,Europe,Europe,0,2,FIFA World Cup qualification,FALSE,No,Lose
9/5/1993,Peru,Paraguay,South America,South America,2,2,FIFA World Cup qualification,FALSE,No,Draw
9/6/1993,Eswatini,Zimbabwe,Africa,Africa,0,1,Friendly,FALSE,No,Lose
9/8/1993,Albania,Denmark,Europe,Europe,0,1,FIFA World Cup qualification,FALSE,No,Lose
9/8/1993,Bulgaria,Sweden,Europe,Europe,1,1,FIFA World Cup qualification,FALSE,No,Draw
9/8/1993,England,Poland,Europe,Europe,3,0,FIFA World Cup qualification,FALSE,No,Win
9/8/1993,Faroe Islands,Romania,Europe,Europe,0,4,FIFA World Cup qualification,FALSE,No,Lose
9/8/1993,Finland,France,Europe,Europe,0,2,FIFA World Cup qualification,FALSE,No,Lose
9/8/1993,Hungary,Russia,Europe,Europe,1,3,FIFA World Cup qualification,FALSE,No,Lose
9/8/1993,Iceland,Luxembourg,Europe,Europe,1,0,FIFA World Cup qualification,FALSE,No,Win
9/8/1993,Republic of Ireland,Lithuania,Europe,Europe,2,0,FIFA World Cup qualification,FALSE,No,Win
9/8/1993,Northern Ireland,Latvia,Europe,Europe,2,0,FIFA World Cup qualification,FALSE,No,Win
9/8/1993,Norway,USA,Europe,North America,1,0,Friendly,FALSE,No,Win
9/8/1993,Scotland,Switzerland,Europe,Europe,1,1,FIFA World Cup qualification,FALSE,No,Draw
9/8/1993,Spain,Chile,Europe,South America,2,0,Friendly,FALSE,No,Win
9/12/1993,Uruguay,Bolivia,South America,South America,2,1,FIFA World Cup qualification,FALSE,No,Win
9/12/1993,Venezuela,Ecuador,South America,South America,2,1,FIFA World Cup qualification,FALSE,No,Win
9/15/1993,Morocco,Mali,Africa,Africa,3,0,Friendly,FALSE,No,Win
9/17/1993,Saudi Arabia,Thailand,Asia,Asia,4,0,Friendly,FALSE,No,Win
9/19/1993,Brazil,Uruguay,South America,South America,2,0,FIFA World Cup qualification,FALSE,No,Win
9/19/1993,Ecuador,Bolivia,South America,South America,1,1,FIFA World Cup qualification,FALSE,No,Draw
9/19/1993,Zimbabwe,Senegal,Africa,Africa,2,0,Friendly,FALSE,No,Win
9/20/1993,Saudi Arabia,Thailand,Asia,Asia,3,0,Friendly,FALSE,No,Win
9/22/1993,Albania,Spain,Europe,Europe,1,5,FIFA World Cup qualification,FALSE,No,Lose
9/22/1993,Estonia,Italy,Europe,Europe,0,3,FIFA World Cup qualification,FALSE,No,Lose
9/22/1993,Mexico,Cameroon,North America,Africa,1,0,Friendly,TRUE,No,Win
9/22/1993,Norway,Poland,Europe,Europe,1,0,FIFA World Cup qualification,FALSE,No,Win
9/22/1993,Romania,Israel,Europe,Europe,1,0,Friendly,FALSE,No,Win
9/22/1993,San Marino,Netherlands,Europe,Europe,0,7,FIFA World Cup qualification,TRUE,No,Lose
9/22/1993,Tunisia,Germany,Africa,Europe,1,1,Friendly,FALSE,No,Draw
9/23/1993,Saudi Arabia,Costa Rica,Asia,North America,1,2,Friendly,FALSE,No,Lose
9/24/1993,Korea Republic,Australia,Asia,Oceania,1,1,Friendly,FALSE,No,Draw
9/25/1993,Nigeria,Côte d'Ivoire,Africa,Africa,4,1,FIFA World Cup qualification,FALSE,No,Win
9/26/1993,Korea Republic,Australia,Asia,Oceania,1,0,Friendly,FALSE,No,Win
9/26/1993,Zambia,Senegal,Africa,Africa,4,0,FIFA World Cup qualification,FALSE,No,Win
9/26/1993,Zimbabwe,Guinea,Africa,Africa,1,0,FIFA World Cup qualification,FALSE,No,Win
9/27/1993,Saudi Arabia,Costa Rica,Asia,North America,3,2,Friendly,FALSE,No,Win
9/29/1993,Mexico,Poland,North America,Europe,0,0,Friendly,TRUE,No,Draw
10/1/1993,Morocco,Gabon,Africa,Africa,1,0,Friendly,FALSE,No,Win
10/4/1993,Japan,Côte d'Ivoire,Asia,Africa,1,0,Friendly,FALSE,No,Win
10/5/1993,Cyprus,Israel,Europe,Europe,2,2,Friendly,FALSE,No,Draw
10/6/1993,Belgium,Gabon,Europe,Africa,2,1,Friendly,FALSE,No,Win
10/6/1993,Mexico,South Africa,North America,Africa,4,0,Friendly,TRUE,No,Win
10/6/1993,Saudi Arabia,Russia,Asia,Europe,4,2,Friendly,FALSE,No,Win
10/8/1993,Algeria,Nigeria,Africa,Africa,1,1,FIFA World Cup qualification,FALSE,No,Draw
10/10/1993,Cameroon,Zimbabwe,Africa,Africa,3,1,FIFA World Cup qualification,FALSE,No,Win
10/10/1993,Morocco,Zambia,Africa,Africa,1,0,FIFA World Cup qualification,FALSE,No,Win
10/12/1993,Luxembourg,Greece,Europe,Europe,1,3,FIFA World Cup qualification,FALSE,No,Lose
10/13/1993,Bulgaria,Austria,Europe,Europe,4,1,FIFA World Cup qualification,FALSE,No,Win
10/13/1993,Denmark,Northern Ireland,Europe,Europe,1,0,FIFA World Cup qualification,FALSE,No,Win
10/13/1993,France,Israel,Europe,Europe,2,3,FIFA World Cup qualification,FALSE,No,Lose
10/13/1993,Germany,Uruguay,Europe,South America,5,0,Friendly,FALSE,No,Win
10/13/1993,Republic of Ireland,Spain,Europe,Europe,1,3,FIFA World Cup qualification,FALSE,No,Lose
10/13/1993,Italy,Scotland,Europe,Europe,3,1,FIFA World Cup qualification,FALSE,No,Win
10/13/1993,Netherlands,England,Europe,Europe,2,0,FIFA World Cup qualification,FALSE,No,Win
10/13/1993,Poland,Norway,Europe,Europe,0,3,FIFA World Cup qualification,FALSE,No,Lose
10/13/1993,Portugal,Switzerland,Europe,Europe,1,0,FIFA World Cup qualification,FALSE,No,Win
10/13/1993,Romania,Belgium,Europe,Europe,2,1,FIFA World Cup qualification,FALSE,No,Win
10/13/1993,Sweden,Finland,Europe,Europe,3,2,FIFA World Cup qualification,FALSE,No,Win
10/13/1993,USA,Mexico,North America,North America,1,1,Friendly,FALSE,No,Draw
10/13/1993,Wales,Cyprus,Europe,Europe,2,0,FIFA World Cup qualification,FALSE,No,Win
10/15/1993,Korea DPR,Iraq,Asia,Asia,3,2,FIFA World Cup qualification,TRUE,No,Win
10/15/1993,Saudi Arabia,Japan,Asia,Asia,0,0,FIFA World Cup qualification,TRUE,No,Draw
10/16/1993,IR Iran,Korea Republic,Asia,Asia,0,3,FIFA World Cup qualification,TRUE,No,Lose
10/16/1993,USA,Ukraine,North America,Europe,1,2,Friendly,FALSE,No,Lose
10/17/1993,Tunisia,Iceland,Africa,Europe,3,1,Friendly,FALSE,No,Win
10/18/1993,Japan,IR Iran,Asia,Asia,1,2,FIFA World Cup qualification,TRUE,No,Lose
10/18/1993,Korea DPR,Saudi Arabia,Asia,Asia,1,2,FIFA World Cup qualification,TRUE,No,Lose
10/19/1993,Iraq,Korea Republic,Asia,Asia,2,2,FIFA World Cup qualification,TRUE,No,Draw
10/20/1993,Mexico,Ukraine,North America,Europe,2,1,Friendly,TRUE,No,Win
10/21/1993,Korea DPR,Japan,Asia,Asia,0,3,FIFA World Cup qualification,TRUE,No,Lose
10/22/1993,IR Iran,Iraq,Asia,Asia,1,2,FIFA World Cup qualification,TRUE,No,Lose
10/22/1993,Korea Republic,Saudi Arabia,Asia,Asia,1,1,FIFA World Cup qualification,TRUE,No,Draw
10/23/1993,USA,Ukraine,North America,Europe,0,1,Friendly,FALSE,No,Lose
10/24/1993,Burundi,Guinea,Africa,Africa,0,0,African Cup of Nations qualification,TRUE,Yes,Lose
10/24/1993,Iraq,Saudi Arabia,Asia,Asia,1,1,FIFA World Cup qualification,TRUE,No,Draw
10/25/1993,IR Iran,Korea DPR,Asia,Asia,2,1,FIFA World Cup qualification,TRUE,No,Win
10/25/1993,Japan,Korea Republic,Asia,Asia,1,0,FIFA World Cup qualification,TRUE,No,Win
10/26/1993,Liechtenstein,Estonia,Europe,Europe,0,2,Friendly,FALSE,No,Lose
10/26/1993,United Arab Emirates,Jordan,Asia,Asia,2,1,Friendly,FALSE,No,Win
10/27/1993,Hungary,Luxembourg,Europe,Europe,1,0,FIFA World Cup qualification,FALSE,No,Win
10/27/1993,Israel,Austria,Europe,Europe,1,1,FIFA World Cup qualification,FALSE,No,Draw
10/27/1993,Turkey,Poland,Europe,Europe,2,1,FIFA World Cup qualification,FALSE,No,Win
10/28/1993,Iraq,Japan,Asia,Asia,2,2,FIFA World Cup qualification,TRUE,No,Draw
10/28/1993,Korea Republic,Korea DPR,Asia,Asia,3,0,FIFA World Cup qualification,TRUE,No,Win
10/28/1993,Saudi Arabia,IR Iran,Asia,Asia,4,3,FIFA World Cup qualification,TRUE,No,Win
10/28/1993,United Arab Emirates,Jordan,Asia,Asia,0,2,Friendly,FALSE,No,Lose
10/31/1993,Australia,Argentina,Oceania,South America,1,1,FIFA World Cup qualification,FALSE,No,Draw
11/3/1993,Mexico,China PR,North America,Asia,3,0,Friendly,TRUE,No,Win
11/5/1993,Egypt,Malta,Africa,Europe,3,0,Friendly,TRUE,No,Win
11/5/1993,Tunisia,Gabon,Africa,Africa,4,0,Friendly,FALSE,No,Win
11/7/1993,Gabon,Malta,Africa,Europe,1,2,Friendly,TRUE,No,Lose
11/7/1993,Tunisia,Egypt,Africa,Africa,2,1,Friendly,FALSE,No,Win
11/7/1993,USA,Jamaica,North America,North America,1,0,Friendly,FALSE,No,Win
11/10/1993,Austria,Sweden,Europe,Europe,1,1,FIFA World Cup qualification,FALSE,No,Draw
11/10/1993,Israel,Finland,Europe,Europe,1,3,FIFA World Cup qualification,FALSE,No,Lose
11/10/1993,Portugal,Estonia,Europe,Europe,3,0,FIFA World Cup qualification,FALSE,No,Win
11/10/1993,Turkey,Norway,Europe,Europe,2,1,FIFA World Cup qualification,FALSE,No,Win
11/14/1993,USA,Cayman Islands,North America,North America,8,1,Friendly,FALSE,No,Win
11/17/1993,Argentina,Australia,South America,Oceania,1,0,FIFA World Cup qualification,FALSE,No,Win
11/17/1993,France,Bulgaria,Europe,Europe,1,2,FIFA World Cup qualification,FALSE,No,Lose
11/17/1993,Germany,Brazil,Europe,South America,2,1,Friendly,FALSE,No,Win
11/17/1993,Greece,Russia,Europe,Europe,1,0,FIFA World Cup qualification,FALSE,No,Win
11/17/1993,Italy,Portugal,Europe,Europe,1,0,FIFA World Cup qualification,FALSE,No,Win
11/17/1993,Malta,Scotland,Europe,Europe,0,2,FIFA World Cup qualification,FALSE,No,Lose
11/17/1993,Northern Ireland,Republic of Ireland,Europe,Europe,1,1,FIFA World Cup qualification,FALSE,No,Draw
11/17/1993,Poland,Netherlands,Europe,Europe,1,3,FIFA World Cup qualification,FALSE,No,Lose
11/17/1993,San Marino,England,Europe,Europe,1,7,FIFA World Cup qualification,TRUE,No,Lose
11/17/1993,Spain,Denmark,Europe,Europe,1,0,FIFA World Cup qualification,FALSE,No,Win
11/17/1993,Switzerland,Estonia,Europe,Europe,4,0,FIFA World Cup qualification,FALSE,No,Win
11/17/1993,Wales,Romania,Europe,Europe,1,2,FIFA World Cup qualification,FALSE,No,Lose
11/22/1993,Gambia,Mauritania,Africa,Africa,2,4,Friendly,FALSE,No,Lose
11/26/1993,Gambia,Ghana,Africa,Africa,3,0,Friendly,TRUE,No,Win
11/26/1993,Sierra Leone,Guinea,Africa,Africa,1,1,Amílcar Cabral Cup,FALSE,No,Draw
11/27/1993,Guinea-Bissau,Mauritania,Africa,Africa,1,0,Amílcar Cabral Cup,TRUE,No,Win
11/27/1993,Senegal,Mali,Africa,Africa,0,1,Amílcar Cabral Cup,TRUE,No,Lose
11/28/1993,Guinea,Gambia,Africa,Africa,1,2,Amílcar Cabral Cup,TRUE,No,Lose
11/28/1993,Sierra Leone,Ghana,Africa,Africa,2,3,Friendly,FALSE,No,Lose
11/29/1993,Mali,Guinea-Bissau,Africa,Africa,3,0,Amílcar Cabral Cup,TRUE,No,Win
11/29/1993,Senegal,Mauritania,Africa,Africa,4,0,Amílcar Cabral Cup,TRUE,No,Win
11/30/1993,Ghana,Guinea,Africa,Africa,1,0,Friendly,TRUE,No,Win
11/30/1993,Sierra Leone,Gambia,Africa,Africa,1,1,Amílcar Cabral Cup,FALSE,No,Draw
11/30/1993,Tahiti,Fiji,Oceania,Oceania,3,0,Friendly,FALSE,No,Win
12/1/1993,Kenya,Uganda,Africa,Africa,2,1,Friendly,FALSE,No,Win
12/1/1993,Mali,Mauritania,Africa,Africa,0,0,Amílcar Cabral Cup,TRUE,No,Draw
12/1/1993,Senegal,Guinea-Bissau,Africa,Africa,0,0,Amílcar Cabral Cup,TRUE,No,Draw
12/3/1993,Gambia,Senegal,Africa,Africa,0,2,Amílcar Cabral Cup,TRUE,No,Lose
12/3/1993,Sierra Leone,Mali,Africa,Africa,2,0,Amílcar Cabral Cup,FALSE,No,Win
12/5/1993,Gambia,Mali,Africa,Africa,2,0,Amílcar Cabral Cup,TRUE,No,Win
12/5/1993,Sierra Leone,Senegal,Africa,Africa,2,0,Amílcar Cabral Cup,FALSE,No,Win
12/5/1993,USA,El Salvador,North America,North America,7,0,Friendly,FALSE,No,Win
12/6/1993,Tanzania,Uganda,Africa,Africa,1,0,Friendly,TRUE,No,Win
12/10/1993,Bangladesh,Myanmar,Asia,Asia,3,1,Friendly,FALSE,No,Win
12/10/1993,Kenya,Tanzania,Africa,Africa,2,1,Friendly,FALSE,No,Win
12/15/1993,Argentina,Germany,South America,Europe,2,1,Friendly,TRUE,No,Win
12/16/1993,Mexico,Brazil,North America,South America,0,1,Friendly,FALSE,No,Lose
12/18/1993,USA,Germany,North America,Europe,0,3,Friendly,FALSE,No,Lose
12/19/1993,Mali,Côte d'Ivoire,Africa,Africa,0,1,Friendly,FALSE,No,Lose
12/22/1993,Mexico,Germany,North America,Europe,0,0,Friendly,FALSE,No,Draw
12/29/1993,Ghana,Egypt,Africa,Africa,0,0,Friendly,FALSE,No,Draw
12/31/1993,Ghana,Tunisia,Africa,Africa,1,1,Friendly,FALSE,No,Draw
1/2/1994,Barbados,Grenada,North America,North America,0,0,Friendly,FALSE,No,Draw
1/2/1994,Ghana,Egypt,Africa,Africa,2,1,Friendly,FALSE,No,Win
1/5/1994,Mali,Burkina Faso,Africa,Africa,1,1,Friendly,FALSE,No,Draw
1/9/1994,Mauritania,Mali,Africa,Africa,1,3,Friendly,FALSE,No,Lose
1/11/1994,Thailand,Nigeria,Asia,Africa,1,1,Friendly,FALSE,No,Draw
1/15/1994,USA,Norway,North America,Europe,2,1,Friendly,FALSE,No,Win
1/18/1994,Guinea,Côte d'Ivoire,Africa,Africa,3,0,Friendly,FALSE,No,Win
1/19/1994,Costa Rica,Norway,North America,Europe,0,0,Friendly,TRUE,No,Draw
1/19/1994,Mexico,Bulgaria,North America,Europe,1,1,Friendly,TRUE,No,Draw
1/19/1994,Spain,Portugal,Europe,Europe,2,2,Friendly,FALSE,No,Draw
1/19/1994,Tunisia,Netherlands,Africa,Europe,2,2,Friendly,FALSE,No,Draw
1/22/1994,USA,Switzerland,North America,Europe,1,1,Friendly,FALSE,No,Draw
1/23/1994,Barbados,Puerto Rico,North America,North America,0,1,CFU Caribbean Cup qualification,FALSE,No,Lose
1/23/1994,Mali,Senegal,Africa,Africa,1,0,Friendly,FALSE,No,Win
1/23/1994,Saudi Arabia,China PR,Asia,Asia,1,0,Friendly,FALSE,No,Win
1/23/1994,Suriname,Guyana,South America,South America,2,0,CFU Caribbean Cup qualification,FALSE,No,Win
1/25/1994,Grenada,Puerto Rico,North America,North America,1,0,CFU Caribbean Cup qualification,TRUE,No,Win
1/25/1994,Qatar,Finland,Asia,Europe,1,0,Friendly,FALSE,No,Win
1/26/1994,Mexico,Switzerland,North America,Europe,1,5,Friendly,TRUE,No,Lose
1/26/1994,Saudi Arabia,China PR,Asia,Asia,1,1,Friendly,FALSE,No,Draw
1/27/1994,Barbados,Grenada,North America,North America,3,2,CFU Caribbean Cup qualification,FALSE,No,Win
1/27/1994,Qatar,Finland,Asia,Europe,0,0,Friendly,FALSE,No,Draw
1/28/1994,Venezuela,Colombia,South America,South America,1,2,Friendly,FALSE,No,Lose
1/29/1994,Burkina Faso,Guinea,Africa,Africa,1,1,Friendly,FALSE,Yes,Win
1/29/1994,Côte d'Ivoire,Niger,Africa,Africa,5,3,Friendly,TRUE,No,Win
1/29/1994,USA,Russia,North America,Europe,1,1,Friendly,FALSE,No,Draw
1/30/1994,Burkina Faso,Côte d'Ivoire,Africa,Africa,0,1,Friendly,FALSE,No,Lose
1/30/1994,Guinea,Niger,Africa,Africa,1,3,Friendly,TRUE,No,Lose
1/30/1994,Oman,Finland,Asia,Europe,0,2,Friendly,FALSE,No,Lose
1/30/1994,Senegal,Mali,Africa,Africa,0,0,Friendly,FALSE,No,Draw
2/1/1994,Oman,Finland,Asia,Europe,1,1,Friendly,FALSE,No,Draw
2/2/1994,Egypt,Morocco,Africa,Africa,1,1,United Arab Emirates Friendship Tournament,TRUE,No,Draw
2/2/1994,Mexico,Russia,North America,Europe,1,4,Friendly,TRUE,No,Lose
2/2/1994,United Arab Emirates,Slovakia,Asia,Europe,0,1,United Arab Emirates Friendship Tournament,FALSE,No,Lose
2/4/1994,Egypt,Slovakia,Africa,Europe,1,0,United Arab Emirates Friendship Tournament,TRUE,No,Win
2/4/1994,Oman,Kenya,Asia,Africa,1,0,Friendly,FALSE,No,Win
2/4/1994,United Arab Emirates,Morocco,Asia,Africa,1,1,United Arab Emirates Friendship Tournament,FALSE,No,Draw
2/6/1994,Morocco,Slovakia,Africa,Europe,2,1,United Arab Emirates Friendship Tournament,TRUE,No,Win
2/6/1994,Oman,Kenya,Asia,Africa,2,0,Friendly,FALSE,No,Win
2/6/1994,Saudi Arabia,Colombia,Asia,South America,1,1,Friendly,FALSE,No,Draw
2/6/1994,United Arab Emirates,Egypt,Asia,Africa,0,1,United Arab Emirates Friendship Tournament,FALSE,No,Lose
2/7/1994,Gambia,Senegal,Africa,Africa,0,0,Friendly,FALSE,No,Draw
2/8/1994,Malta,Tunisia,Europe,Africa,1,1,Malta International Tournament,FALSE,No,Draw
2/9/1994,Spain,Poland,Europe,Europe,1,1,Friendly,FALSE,No,Draw
2/10/1994,Slovenia,Tunisia,Europe,Africa,2,2,Malta International Tournament,TRUE,No,Draw
2/12/1994,Malawi,Zambia,Africa,Africa,0,3,Friendly,FALSE,No,Lose
2/12/1994,Malta,Slovenia,Europe,Europe,0,1,Malta International Tournament,FALSE,No,Lose
2/13/1994,Malawi,Zambia,Africa,Africa,0,2,Friendly,FALSE,No,Lose
2/13/1994,Romania,USA,Europe,North America,2,1,Lunar New Year Cup,TRUE,No,Win
2/16/1994,Italy,France,Europe,Europe,0,1,Friendly,FALSE,No,Lose
2/16/1994,Korea Republic,Romania,Asia,Europe,1,2,Friendly,FALSE,No,Lose
2/16/1994,Malta,Belgium,Europe,Europe,1,0,Friendly,FALSE,No,Win
2/18/1994,Colombia,Sweden,South America,Europe,0,0,Friendly,TRUE,No,Draw
2/18/1994,USA,Bolivia,North America,South America,1,1,Friendly,FALSE,No,Draw
2/20/1994,Bolivia,Colombia,South America,South America,0,2,Friendly,TRUE,No,Lose
2/20/1994,USA,Sweden,North America,Europe,1,3,Friendly,FALSE,No,Lose
2/23/1994,Mali,Ghana,Africa,Africa,0,0,Friendly,FALSE,No,Draw
2/23/1994,Morocco,Finland,Africa,Europe,0,0,Friendly,FALSE,No,Draw
2/24/1994,Mexico,Sweden,North America,Europe,2,1,Friendly,TRUE,No,Win
2/26/1994,Colombia,Korea Republic,South America,Asia,2,2,Friendly,TRUE,No,Draw
2/26/1994,Zimbabwe,Zambia,Africa,Africa,2,2,Friendly,FALSE,No,Draw
2/27/1994,Gabon,Senegal,Africa,Africa,0,0,Friendly,FALSE,No,Draw
3/2/1994,Mexico,Colombia,North America,South America,0,0,Friendly,FALSE,No,Draw
3/5/1994,USA,Korea Republic,North America,Asia,1,0,Friendly,FALSE,No,Win
3/6/1994,Cayman Islands,Jamaica,North America,North America,3,2,CFU Caribbean Cup qualification,FALSE,No,Win
3/9/1994,Cyprus,Estonia,Europe,Europe,2,0,Friendly,FALSE,No,Win
3/9/1994,England,Denmark,Europe,Europe,1,0,Friendly,FALSE,No,Win
3/9/1994,Hungary,Switzerland,Europe,Europe,1,2,Friendly,FALSE,No,Lose
3/9/1994,Nigeria,Ghana,Africa,Africa,0,0,Friendly,FALSE,No,Draw
3/9/1994,Wales,Norway,Europe,Europe,1,3,Friendly,FALSE,No,Lose
3/10/1994,Dominican Republic,Haiti,North America,North America,0,1,CFU Caribbean Cup qualification,FALSE,No,Lose
3/12/1994,USA,Korea Republic,North America,Asia,1,1,Friendly,FALSE,No,Draw
3/12/1994,Zambia,Zimbabwe,Africa,Africa,2,1,Friendly,FALSE,No,Win
3/15/1994,Israel,Ukraine,Europe,Europe,1,0,Friendly,FALSE,No,Win
3/16/1994,Egypt,Cameroon,Africa,Africa,0,0,Friendly,FALSE,No,Draw
3/17/1994,Tunisia,Niger,Africa,Africa,4,2,Friendly,FALSE,No,Win
3/19/1994,Angola,Gabon,Africa,Africa,2,1,Friendly,FALSE,No,Win
3/22/1994,France,Chile,Europe,South America,3,1,Friendly,FALSE,No,Win
3/23/1994,Austria,Hungary,Europe,Europe,1,1,Friendly,FALSE,No,Draw
3/23/1994,Brazil,Argentina,South America,South America,2,0,Friendly,FALSE,No,Win
3/23/1994,Germany,Italy,Europe,Europe,2,1,Friendly,FALSE,No,Win
3/23/1994,Greece,Poland,Europe,Europe,0,0,Friendly,FALSE,No,Draw
3/23/1994,Republic of Ireland,Russia,Europe,Europe,0,0,Friendly,FALSE,No,Draw
3/23/1994,Luxembourg,Morocco,Europe,Africa,1,2,Friendly,FALSE,No,Lose
3/23/1994,Northern Ireland,Romania,Europe,Europe,2,0,Friendly,FALSE,No,Win
3/23/1994,Scotland,Netherlands,Europe,Europe,0,1,Friendly,FALSE,No,Lose
3/23/1994,Spain,Croatia,Europe,Europe,0,2,Friendly,FALSE,No,Lose
3/26/1994,Nigeria,Gabon,Africa,Africa,3,0,African Cup of Nations,TRUE,No,Win
3/26/1994,Saudi Arabia,Chile,Asia,South America,0,2,Friendly,FALSE,No,Lose
3/26/1994,Tunisia,Mali,Africa,Africa,0,2,African Cup of Nations,FALSE,No,Lose
3/26/1994,USA,Bolivia,North America,South America,2,2,Friendly,FALSE,No,Draw
3/27/1994,Ghana,Guinea,Africa,Africa,1,0,African Cup of Nations,TRUE,No,Win
3/27/1994,Côte d'Ivoire,Sierra Leone,Africa,Africa,4,0,African Cup of Nations,TRUE,No,Win
3/28/1994,Egypt,Gabon,Africa,Africa,4,0,African Cup of Nations,TRUE,No,Win
3/29/1994,Senegal,Guinea,Africa,Africa,2,1,African Cup of Nations,TRUE,No,Win
3/29/1994,Zambia,Sierra Leone,Africa,Africa,0,0,African Cup of Nations,TRUE,No,Draw
3/30/1994,Malta,Slovakia,Europe,Europe,1,2,Friendly,FALSE,No,Lose
3/30/1994,Nigeria,Egypt,Africa,Africa,0,0,African Cup of Nations,TRUE,No,Draw
3/31/1994,Ghana,Senegal,Africa,Africa,1,0,African Cup of Nations,TRUE,No,Win
3/31/1994,Zambia,Côte d'Ivoire,Africa,Africa,1,0,African Cup of Nations,TRUE,No,Win
4/2/1994,Egypt,Mali,Africa,Africa,0,1,African Cup of Nations,TRUE,No,Lose
4/3/1994,Ghana,Côte d'Ivoire,Africa,Africa,1,2,African Cup of Nations,TRUE,No,Lose
4/3/1994,Zambia,Senegal,Africa,Africa,1,0,African Cup of Nations,TRUE,No,Win
4/6/1994,Hungary,Slovenia,Europe,Europe,0,1,Friendly,FALSE,No,Lose
4/6/1994,Nigeria,Côte d'Ivoire,Africa,Africa,2,2,African Cup of Nations,TRUE,Yes,Win
4/6/1994,Zambia,Mali,Africa,Africa,4,0,African Cup of Nations,TRUE,No,Win
4/7/1994,Cayman Islands,Haiti,North America,North America,2,3,CFU Caribbean Cup,TRUE,No,Lose
4/7/1994,Colombia,Bolivia,South America,South America,0,1,Friendly,FALSE,No,Lose
4/9/1994,Suriname,Cayman Islands,South America,North America,2,0,CFU Caribbean Cup,TRUE,No,Win
4/10/1994,Côte d'Ivoire,Mali,Africa,Africa,3,1,African Cup of Nations,TRUE,No,Win
4/10/1994,Nigeria,Zambia,Africa,Africa,2,1,African Cup of Nations,TRUE,No,Win
4/11/1994,Suriname,Haiti,South America,North America,1,1,CFU Caribbean Cup,TRUE,No,Draw
4/13/1994,Poland,Saudi Arabia,Europe,Asia,1,0,Friendly,TRUE,No,Win
4/14/1994,Trinidad and Tobago,Suriname,South America,South America,3,2,CFU Caribbean Cup,FALSE,No,Win
4/15/1994,Oman,Bulgaria,Asia,Europe,1,1,Friendly,FALSE,No,Draw
4/17/1994,Colombia,Nigeria,South America,Africa,1,0,Friendly,FALSE,No,Win
