date,home_team,away_team,home_team_continent,away_team_continent,home_team_score,away_team_score,tournament,neutral_location,shoot_out,home_team_result
6/16/1996,Mozambique,Namibia,Africa,Africa,1,1,FIFA World Cup qualification,FALSE,No,Draw
6/16/1996,Russia,Germany,Europe,Europe,0,3,UEFA Euro,TRUE,No,Lose
6/16/1996,Sierra Leone,Burundi,Africa,Africa,0,1,FIFA World Cup qualification,FALSE,No,Lose
6/16/1996,Tunisia,Rwanda,Africa,Africa,2,0,FIFA World Cup qualification,FALSE,No,Win
6/16/1996,USA,Mexico,North America,North America,2,2,USA Cup,FALSE,No,Draw
6/16/1996,Zambia,Sudan,Africa,Africa,3,0,FIFA World Cup qualification,FALSE,No,Win
6/16/1996,Zimbabwe,Madagascar,Africa,Africa,2,2,FIFA World Cup qualification,FALSE,No,Draw
6/17/1996,Ghana,Tanzania,Africa,Africa,2,1,FIFA World Cup qualification,FALSE,No,Win
6/17/1996,Oman,Nepal,Asia,Asia,2,1,AFC Asian Cup qualification,FALSE,No,Win
6/17/1996,Sri Lanka,IR Iran,Asia,Asia,0,4,AFC Asian Cup qualification,TRUE,No,Lose
6/18/1996,England,Netherlands,Europe,Europe,4,1,UEFA Euro,FALSE,No,Win
6/18/1996,France,Bulgaria,Europe,Europe,3,1,UEFA Euro,TRUE,No,Win
6/18/1996,Romania,Spain,Europe,Europe,1,2,UEFA Euro,TRUE,No,Lose
6/18/1996,Scotland,Switzerland,Europe,Europe,1,0,UEFA Euro,TRUE,No,Win
6/19/1996,Croatia,Portugal,Europe,Europe,0,3,UEFA Euro,TRUE,No,Lose
6/19/1996,Italy,Germany,Europe,Europe,0,0,UEFA Euro,TRUE,No,Draw
6/19/1996,Nepal,IR Iran,Asia,Asia,0,4,AFC Asian Cup qualification,TRUE,No,Lose
6/19/1996,Oman,Sri Lanka,Asia,Asia,10,0,AFC Asian Cup qualification,FALSE,No,Win
6/19/1996,Russia,Czech Republic,Europe,Europe,3,3,UEFA Euro,TRUE,No,Draw
6/19/1996,Turkey,Denmark,Europe,Europe,0,3,UEFA Euro,TRUE,No,Lose
6/19/1996,Uzbekistan,Tajikistan,Asia,Asia,5,0,AFC Asian Cup qualification,FALSE,No,Win
6/20/1996,Kuwait,Lebanon,Asia,Asia,0,0,AFC Asian Cup qualification,FALSE,No,Draw
6/20/1996,Peru,Armenia,South America,Europe,4,0,Friendly,FALSE,No,Win
6/21/1996,Nepal,Sri Lanka,Asia,Asia,0,2,AFC Asian Cup qualification,TRUE,No,Lose
6/21/1996,Oman,IR Iran,Asia,Asia,1,2,AFC Asian Cup qualification,FALSE,No,Lose
6/21/1996,Syria,Kazakhstan,Asia,Europe,2,0,AFC Asian Cup qualification,FALSE,No,Win
6/22/1996,England,Spain,Europe,Europe,0,0,UEFA Euro,FALSE,Yes,Win
6/22/1996,France,Netherlands,Europe,Europe,0,0,UEFA Euro,TRUE,Yes,Win
